id,rfid,corr
3,"10942566",3
12,"10942693",50
21,"10823805",18
25,"10942565",17
38,"10695733",17
46,"10823808",17
59,"10695808",16
62,"10823812",17
63,"10942576",17
94,"10695795",17
98,"10695769",20
100,"10695722",17
115,"10695855",17
120,"10695729",17
121,"10695748",17
126,"",17
131,"10695853",17
142,"10695854",17
143,"10695713",17
145,"10695723",17
148,"10695820",40
153,"10695771",17
159,"10695765",17
165,"10695708",15
183,"10695727",17
186,"10695720",13
188,"10695823",20
208,"982000368724681",18
254,"10695715",14
256,"10695813",50
262,"11229247",20
274,"10695800",17
282,"10823823",17
283,"10695785",1
285,"10695835",13
290,"10695861",18
293,"10823741",20
310,"10695863",17
311,"10695744",12
323,"10823821",18
348,"10942455",11
349,"10942955",13
361,"10942474",11
368,"10823744",17
371,"10942466",2
376,"10823737",12
380,"10942966",17
383,"10942940",11
384,"10942475",20
389,"10942968",18
400,"10823853",40
411,"",50
417,"10942979",17
422,"982000368724667",13
424,"10942447",16
459,"11145571",3
463,"10823854",18
481,"11145681",2
487,"11145607",17
489,"10823851",4
495,"11145669",17
498,"10823852",9
500,"11145667",13
508,"11145666",20
529,"10823867",12
530,"982000425736859",12
533,"10823874",17
534,"10942724",15
535,"11145668",10
543,"11229243",10
546,"10823880",13
547,"11145605",17
553,"11145573",4
562,"11145584",17
567,"10823757",4
570,"10942729",19
584,"10823869",19
586,"10823760",19
598,"10823705",10
604,"10823695",1
605,"11145599",15
606,"10823759",13
607,"10823696",4
608,"10823768",12
611,"10823751",10
615,"11145685",11
616,"10823693",17
631,"11145588",12
635,"11145684",9
644,"11145697",17
656,"10823730",20
663,"11145598",10
665,"10823749",15
667,"11145695",1
678,"11145616",2
694,"11145597",1
696,"11145683",3
700,"11145589",50
714,"10823724",13
716,"11145632",14
717,"10823683",3
724,"11145714",2
731,"11145708",11
737,"10823677",18
743,"11145647",2
744,"11229258",4
750,"11145630",18
752,"11229273",11
755,"11229278",1
757,"11145628",20
763,"11145620",18
767,"11229270",12
769,"11145717",15
775,"11145732",4
780,"11229253",20
783,"11145636",9
784,"11145633",1
788,"11229269",20
790,"11145624",1
800,"11229266",12
804,"11145734",18
806,"11229294",50
807,"11145738",2
811,"11229148",4
813,"11229194",20
814,"11229147",20
818,"11229287",2
828,"11229200",14
829,"11229144",17
831,"11229201",11
832,"11229150",19
833,"11229279",9
839,"11229281",4
842,"11229205",9
848,"11229198",20
854,"11229197",9
859,"11229293",4
867,"12142022",15
868,"11229298",11
871,"11229299",12
876,"11229167",13
877,"11229300",13
879,"11229168",9
880,"11229301",1
882,"12141997",10
884,"12149535",17
887,"12149533",12
888,"12141999",17
891,"12149537",12
894,"12142001",10
897,"12142002",2
898,"12149527",9
907,"12149632",18
908,"12149529",10
910,"12149526",20
913,"12142005",1
915,"12149619",2
917,"12149524",19
920,"12149523",18
925,"12149633",17
933,"12142011",4
938,"12142013",50
939,"12149519",18
940,"12149626",1
945,"12142015",19
948,"12142016",12
951,"12149651",12
955,"12149520",2
961,"12142018",19
966,"12149647",12
968,"12149638",3
974,"12149642",15
976,"12149643",18
978,"12149544",13
979,"12149551",10
983,"12142036",9
988,"12149669",8
991,"12142035",19
992,"12149668",19
997,"12149654",2
1000,"12142026",18
1001,"12149666",20
1011,"12142038",2
1017,"12142042",20
1018,"12142037",17
1020,"12142053",11
1022,"12142030",9
1023,"12149659",3
1024,"12142047",11
1025,"12149591",2
1039,"12149563",4
1042,"12149583",4
1044,"12149675",15
1046,"12149682",10
1053,"12142051",10
1056,"12149663",50
1062,"12149553",2
1063,"12149678",9
1064,"12149557",14
1065,"12149569",13
1066,"12149568",18
1071,"12149564",2
1078,"12149679",18
1079,"12149586",4
1081,"12149579",1
1083,"12149596",4
1085,"12149605",14
1087,"12149606",16
1088,"12149587",3
1089,"12149572",4
1090,"12149565",14
1094,"12149709",10
1096,"12142061",18
1099,"12149602",50
1100,"12149592",15
1101,"12149577",11
1103,"12149593",2
1107,"12149597",9
1110,"12149680",13
1111,"12149677",11
1112,"12149576",19
1113,"12149595",40
1114,"12149609",19
1116,"12149556",19
1117,"12142057",19
1118,"12149611",20
1120,"12142058",12
1122,"12149594",20
1129,"12149688",20
1130,"12142066",15
1138,"12149686",50
1140,"12142064",18
1151,"12149705",10
1159,"12149614",12
1161,"12149706",4
1162,"12149618",4
1164,"12149704",4
1177,"12149717",16
1191,"12142091",16
1199,"12142087",19
1200,"12142071",10
1202,"12142085",4
1203,"12142081",12
1205,"12149715",9
1209,"12142075",4
1215,"12292637",1
1216,"12292662",18
1221,"12292646",15
1228,"12292649",10
1229,"12292447",9
1230,"12292656",14
1231,"12292653",10
1234,"12292550",12
1238,"12292442",9
1242,"12292658",11
1244,"12292647",2
1245,"12292448",11
1249,"12292674",20
1250,"12292682",13
1253,"12292438",9
1254,"12292650",2
1256,"12292455",11
1258,"12292440",16
1259,"12292685",10
1260,"12292673",3
1261,"12292547",18
1262,"12292450",50
1263,"12292672",50
1264,"12292454",19
1266,"12292452",3
1267,"12292670",3
1268,"12292680",13
1270,"12292539",10
1271,"12292546",15
1275,"12292444",13
1276,"12292445",13
1280,"12292684",2
1281,"12292668",16
1282,"12292638",11
1284,"12292453",11
1289,"12292545",11
1298,"12292679",15
1301,"12292713",3
1302,"12292551",16
1305,"12292558",10
1308,"12292541",3
1311,"12292700",10
1314,"12292549",1
1323,"12292706",2
1327,"12292689",1
1329,"12292701",10
1330,"12292715",15
1335,"12292681",3
1339,"12292583",3
1342,"12292709",50
1343,"12292577",3
1345,"12292675",12
1348,"12292567",4
1359,"12292587",11
1365,"12292586",10
1368,"12292695",2
1369,"12292704",4
