AlproIso log file.
DeLaval International AB. (ÜA,BO,TKj/MES 2003)

Farmname: ESTABLO agroplus    
Alpro date: 20091107

AlproIso Link version: 660     
AlproSync version: 6.60
Current DB version: 6.400

   Note in line:     2 The Excel switch is activated. Out-file uses TAB separated columns.
   Note in line:     2 ISO 11787 standard data dictionary is recognized and parsed.
  Error in line:     8 Value 0 is not a valid date. DD-number: 300035 (DateCalving)
   Note in line:     8 Cow     10 introduced!
  Error in line:     8 Value 0 is not a valid date. DD-number: 300035 (DateCalving)
  Error in line:     8 Value 0 is not a valid date. DD-number: 300035 (DateCalving)
  Error in line:    10 Value 0 is not a valid date. DD-number: 300035 (DateCalving)
   Note in line:    10 Cow     12 introduced!
  Error in line:    10 Value 0 is not a valid date. DD-number: 300035 (DateCalving)
  Error in line:    10 Value 0 is not a valid date. DD-number: 300035 (DateCalving)
  Error in line:    14 Value 0 is not a valid date. DD-number: 300035 (DateCalving)
  Error in line:    14 Value 0 is not a valid date. DD-number: 300035 (DateCalving)
  Error in line:    30 Value 0 is not a valid date. DD-number: 300035 (DateCalving)
   Note in line:    30 Cow    105 introduced!
  Error in line:    30 Value 0 is not a valid date. DD-number: 300035 (DateCalving)
  Error in line:    30 Value 0 is not a valid date. DD-number: 300035 (DateCalving)
   Note in line:   520 Cow   3485 introduced!
   Note in line:   522 Cow   3489 introduced!
   Note in line:   524 Cow   3490 introduced!
   Note in line:   526 Cow   3493 introduced!
   Note in line:   528 Cow   3494 introduced!
   Note in line:   530 Cow   3498 introduced!
   Note in line:   532 Cow   3499 introduced!
   Note in line:   534 Cow   3500 introduced!
   Note in line:   536 Cow   3502 introduced!
   Note in line:   538 Cow   3505 introduced!
   Note in line:   540 Cow   3508 introduced!
   Note in line:   542 Cow   3510 introduced!
   Note in line:   544 Cow   3513 introduced!
   Note in line:   546 Cow   3515 introduced!
   Note in line:   548 Cow   3517 introduced!
   Note in line:   550 Cow   3519 introduced!
   Note in line:   552 Cow   3522 introduced!
   Note in line:   554 Cow   3523 introduced!
   Note in line:   556 Cow   3526 introduced!
   Note in line:   558 Cow   3530 introduced!
   Note in line:   560 Cow   3534 introduced!
   Note in line:   562 Cow   3538 introduced!
   Note in line:   564 Cow   3540 introduced!
   Note in line:   566 Cow   3543 introduced!
   Note in line:   568 Cow   3546 introduced!
   Note in line:   570 Cow   3547 introduced!
   Note in line:   572 Cow   3548 introduced!
   Note in line:   574 Cow   3552 introduced!
   Note in line:   576 Cow   3557 introduced!
   Note in line:   578 Cow   3562 introduced!
   Note in line:   580 Cow   3564 introduced!
   Note in line:   582 Cow   3565 introduced!
   Note in line:   584 Cow   3579 introduced!
   Note in line:   586 Cow   3582 introduced!
   Note in line:   588 Cow   3583 introduced!
   Note in line:   590 Cow   3584 introduced!
   Note in line:   592 Cow   3591 introduced!
   Note in line:   594 Cow   3594 introduced!
   Note in line:   596 Cow   3596 introduced!
   Note in line:   598 Cow   3598 introduced!
   Note in line:   600 Cow   3601 introduced!
   Note in line:   602 Cow   3604 introduced!
   Note in line:   604 Cow   3607 introduced!
   Note in line:   606 Cow   3612 introduced!
   Note in line:   608 Cow   3621 introduced!
   Note in line:   610 Cow   3626 introduced!
   Note in line:   612 Cow   3629 introduced!
   Note in line:   614 Cow   3631 introduced!
   Note in line:   616 Cow   3634 introduced!
   Note in line:   618 Cow   3635 introduced!
   Note in line:   620 Cow   3637 introduced!
   Note in line:   622 Cow   3640 introduced!
   Note in line:   624 Cow   3641 introduced!
   Note in line:   626 Cow   3644 introduced!
   Note in line:   628 Cow   3647 introduced!
   Note in line:   630 Cow   3648 introduced!
   Note in line:   632 Cow   3649 introduced!
   Note in line:   634 Cow   3654 introduced!
   Note in line:   636 Cow   3662 introduced!
   Note in line:   638 Cow   3664 introduced!
   Note in line:   640 Cow   3665 introduced!
   Note in line:   642 Cow   3670 introduced!
   Note in line:   644 Cow   3672 introduced!
   Note in line:   646 Cow   3673 introduced!
   Note in line:   648 Cow   3675 introduced!
   Note in line:   650 Cow   3676 introduced!
   Note in line:   652 Cow   3678 introduced!
   Note in line:   654 Cow   3683 introduced!
   Note in line:   656 Cow   3684 introduced!
   Note in line:   658 Cow   3689 introduced!
   Note in line:   660 Cow   3694 introduced!
   Note in line:   662 Cow   3699 introduced!
   Note in line:   664 Cow   3705 introduced!
   Note in line:   666 Cow   3712 introduced!
   Note in line:   668 Cow   3715 introduced!
   Note in line:   670 Cow   3729 introduced!
   Note in line:   672 Cow   3733 introduced!
   Note in line:   674 Cow   3741 introduced!
   Note in line:   676 Cow   3742 introduced!
   Note in line:   678 Cow   3743 introduced!
   Note in line:   680 Cow   3745 introduced!
   Note in line:   682 Cow   3746 introduced!
   Note in line:   684 Cow   3752 introduced!
   Note in line:   686 Cow   3758 introduced!
   Note in line:   688 Cow   3759 introduced!
   Note in line:   690 Cow   3760 introduced!
   Note in line:   692 Cow   3767 introduced!
   Note in line:   694 Cow   3770 introduced!
   Note in line:   696 Cow   3772 introduced!
   Note in line:   698 Cow   3786 introduced!
   Note in line:   700 Cow   3788 introduced!
   Note in line:   702 Cow   3796 introduced!
   Note in line:   704 Cow   3799 introduced!
   Note in line:   706 Cow   3800 introduced!
   Note in line:   708 Cow   3811 introduced!
   Note in line:   710 Cow   3815 introduced!
   Note in line:   712 Cow   3816 introduced!
   Note in line:   714 Cow   3823 introduced!
   Note in line:   716 Cow   3826 introduced!
   Note in line:   718 Cow   3828 introduced!
   Note in line:   720 Cow   3830 introduced!
   Note in line:   722 Cow   3831 introduced!
   Note in line:   724 Cow   3835 introduced!
   Note in line:   726 Cow   3836 introduced!
   Note in line:   728 Cow   3838 introduced!
   Note in line:   730 Cow   3841 introduced!
   Note in line:   732 Cow   3842 introduced!
   Note in line:   734 Cow   3849 introduced!
   Note in line:   736 Cow   3853 introduced!
   Note in line:   738 Cow   3855 introduced!
   Note in line:   740 Cow   3857 introduced!
   Note in line:   742 Cow   3858 introduced!
   Note in line:   744 Cow   3859 introduced!
   Note in line:   746 Cow   3861 introduced!
   Note in line:   748 Cow   3865 introduced!
   Note in line:   750 Cow   3871 introduced!
   Note in line:   752 Cow   3879 introduced!
   Note in line:   754 Cow   3881 introduced!
   Note in line:   756 Cow   3883 introduced!
   Note in line:   758 Cow   3885 introduced!
   Note in line:   760 Cow   3886 introduced!
   Note in line:   762 Cow   3889 introduced!
   Note in line:   764 Cow   3890 introduced!
   Note in line:   766 Cow   3891 introduced!
   Note in line:   768 Cow   3893 introduced!
   Note in line:   770 Cow   3895 introduced!
   Note in line:   772 Cow   3897 introduced!
   Note in line:   774 Cow   3899 introduced!
   Note in line:   776 Cow   3903 introduced!
   Note in line:   778 Cow   3908 introduced!
   Note in line:   780 Cow   3912 introduced!
   Note in line:   782 Cow   3919 introduced!
   Note in line:   784 Cow   3926 introduced!
   Note in line:   786 Cow   3928 introduced!
   Note in line:   788 Cow   3929 introduced!
   Note in line:   790 Cow   3931 introduced!
   Note in line:   792 Cow   3933 introduced!
   Note in line:   794 Cow   3934 introduced!
   Note in line:   796 Cow   3936 introduced!
   Note in line:   798 Cow   3939 introduced!
   Note in line:   800 Cow   3940 introduced!
   Note in line:   802 Cow   3943 introduced!
   Note in line:   804 Cow   3944 introduced!
   Note in line:   806 Cow   3945 introduced!
   Note in line:   808 Cow   3948 introduced!
   Note in line:   810 Cow   3949 introduced!
   Note in line:   812 Cow   3950 introduced!
   Note in line:   814 Cow   3952 introduced!
   Note in line:   816 Cow   3957 introduced!
   Note in line:   818 Cow   3961 introduced!
   Note in line:   820 Cow   3964 introduced!
   Note in line:   822 Cow   3970 introduced!
   Note in line:   824 Cow   3977 introduced!
   Note in line:   826 Cow   3981 introduced!
   Note in line:   828 Cow   3989 introduced!
   Note in line:   830 Cow   3993 introduced!
   Note in line:   832 Cow   3994 introduced!
