id,np,corr,fpar,stat,exp_6,prm,dpr,dsc,fnac,exp_11,exp_12,psv
3067,8,20,25.07.2019,"CARGA",254,39.00,379,34,07.10.2010,3626,119.276,"N"
3075,8,14,19.08.2020,"FRESC",0,25.00,22,0,16.10.2010,3617,118.980,"S"
3084,8,12,04.02.2020,"VACIA",54,34.00,219,0,27.10.2010,3606,118.618,"N"
3234,7,18,15.09.2019,"CARGA",227,12.00,361,0,10.04.2011,3441,113.191,"N"
3245,7,17,23.08.2019,"CARGA",211,19.00,354,30,04.05.2011,3417,112.401,"N"
3257,7,12,22.07.2019,"CARGA",215,23.00,416,0,26.05.2011,3395,111.678,"N"
3266,7,18,11.11.2019,"CARGA",217,28.00,304,0,23.06.2011,3367,110.757,"N"
3278,8,14,23.08.2020,"FRESC",0,0.00,18,0,15.07.2011,3345,110.033,"N"
3285,6,20,05.06.2019,"CARGA",265,20.00,423,40,23.07.2011,3337,109.770,"N"
3300,6,20,03.03.2019,"CARGA",270,18.00,517,40,06.08.2011,3323,109.309,"N"
3327,8,1,30.07.2020,"LIMPI",0,43.00,42,0,26.08.2011,3303,108.651,"N"
3334,8,1,24.07.2020,"LIMPI",0,48.00,48,0,03.09.2011,3295,108.388,"N"
3340,7,12,21.08.2019,"CARGA",230,11.00,386,0,06.09.2011,3292,108.289,"N"
3359,7,3,06.05.2020,"INSEM",40,49.00,127,0,20.09.2011,3278,107.829,"N"
3367,6,19,19.06.2019,"CARGA",228,6.00,449,0,25.09.2011,3273,107.664,"S"
3370,7,12,27.12.2019,"CARGA",142,33.00,258,0,26.09.2011,3272,107.632,"N"
3374,6,4,21.03.2020,"INSEM",36,26.00,173,0,03.10.2011,3265,107.401,"N"
3375,6,11,24.12.2019,"CARGA",133,28.00,261,0,04.10.2011,3264,107.368,"N"
3383,6,10,12.12.2019,"INSEM",16,30.00,273,0,09.10.2011,3259,107.204,"N"
3402,7,9,01.02.2020,"CARGA",160,41.00,222,0,26.10.2011,3242,106.645,"N"
3410,7,16,14.08.2020,"FRESC",0,25.00,27,0,01.11.2011,3236,106.447,"N"
3416,5,12,13.05.2019,"LIMPI",107,19.00,486,0,07.11.2011,3230,106.250,"S"
3419,6,15,29.09.2019,"CARGA",287,18.00,290,57,10.11.2011,3227,106.151,"N"
3423,7,17,21.01.2020,"CARGA",180,18.00,203,30,13.11.2011,3224,106.053,"N"
3427,6,50,03.09.2019,"CARGA",278,25.00,325,48,17.11.2011,3220,105.921,"N"
3428,6,18,27.07.2019,"CARGA",205,16.00,411,0,18.11.2011,3219,105.888,"N"
3439,8,14,22.08.2020,"FRESC",0,0.00,19,0,27.11.2011,3210,105.592,"S"
3459,7,1,05.08.2020,"LIMPI",0,46.00,36,0,22.12.2011,3185,104.770,"N"
3470,5,10,23.12.2019,"TRATA",147,28.00,262,0,31.12.2011,3176,104.474,"S"
3477,5,19,13.02.2019,"CARGA",137,25.00,575,0,05.01.2012,3171,104.309,"N"
3482,7,10,19.11.2019,"CARGA",130,32.00,296,0,07.01.2012,3169,104.243,"N"
3491,7,11,16.11.2019,"CARGA",181,28.00,299,0,13.01.2012,3163,104.046,"N"
3,6,17,09.09.2019,"CARGA",251,15.00,347,20,21.01.2012,3155,103.783,"N"
12,6,2,04.05.2020,"INSEM",20,36.00,129,0,29.01.2012,3147,103.520,"N"
21,6,17,09.05.2020,"CARGA",49,43.00,124,0,08.02.2012,3137,103.191,"N"
25,7,9,01.02.2020,"INSEM",23,32.00,222,0,12.02.2012,3133,103.059,"N"
38,7,2,21.06.2020,"TRATA",0,37.00,81,0,29.02.2012,3116,102.500,"N"
46,7,2,28.06.2020,"TRATA",38,47.00,74,0,10.03.2012,3106,102.171,"N"
59,6,11,04.11.2019,"CARGA",181,35.00,311,0,29.03.2012,3087,101.546,"N"
62,6,19,11.10.2019,"CARGA",218,27.00,335,0,01.04.2012,3084,101.447,"N"
63,7,19,16.11.2019,"CARGA",199,18.00,299,0,01.04.2012,3084,101.447,"N"
65,6,18,30.04.2019,"CARGA",209,17.00,499,0,02.04.2012,3083,101.414,"N"
66,5,50,13.12.2019,"LIMPI",86,24.00,272,0,04.04.2012,3081,101.349,"S"
94,7,12,02.12.2019,"CARGA",226,22.00,283,0,10.06.2012,3014,99.145,"N"
98,7,4,26.04.2020,"CARGA",106,54.00,137,0,18.06.2012,3006,98.882,"N"
115,6,9,02.02.2020,"INSEM",34,32.00,221,0,03.07.2012,2991,98.388,"N"
120,6,17,25.09.2019,"CARGA",249,4.00,331,20,14.07.2012,2980,98.026,"N"
121,7,12,09.06.2020,"INSEM",28,37.00,93,0,14.07.2012,2980,98.026,"N"
126,6,2,11.07.2020,"LIMPI",23,39.00,61,0,17.07.2012,2977,97.928,"N"
131,6,16,12.08.2020,"FRESC",0,40.00,29,0,22.07.2012,2972,97.763,"N"
140,6,11,28.11.2019,"INSEM",31,42.00,287,0,28.07.2012,2966,97.566,"N"
142,6,17,17.09.2019,"CARGA",271,31.00,319,40,28.07.2012,2966,97.566,"N"
143,7,2,11.07.2020,"SUCIA",38,36.00,61,0,29.07.2012,2965,97.533,"N"
145,6,17,02.06.2019,"CARGA",255,12.00,432,34,30.07.2012,2964,97.500,"N"
148,6,4,27.03.2020,"CARGA",97,41.00,167,0,02.08.2012,2961,97.401,"N"
149,6,18,25.07.2019,"CARGA",150,11.00,413,0,03.08.2012,2960,97.368,"N"
153,7,12,08.05.2020,"LIMPI",70,37.00,125,0,06.08.2012,2957,97.270,"S"
159,6,19,25.10.2019,"CARGA",227,16.00,321,0,13.08.2012,2950,97.039,"N"
165,5,13,23.11.2019,"CARGA",144,12.00,292,0,17.08.2012,2946,96.908,"N"
183,6,19,31.10.2019,"CARGA",239,22.00,315,0,01.09.2012,2931,96.414,"N"
